Time,X,Y,P
13734,0.7360,0.3320,0.0260
13735,0.7360,0.3330,0.0950
13735,0.7360,0.3330,0.0950
13749,0.7350,0.3340,0.2840
13766,0.7350,0.3280,0.5150
13782,0.7350,0.3180,0.7630
13799,0.7360,0.2990,0.9830
13817,0.7370,0.2840,1
13832,0.7380,0.2680,1
13850,0.7380,0.2580,1
13867,0.7380,0.2530,1
13883,0.7390,0.2530,1
13899,0.7390,0.2560,1
13916,0.7390,0.2680,1
13933,0.7400,0.2860,1
13949,0.7420,0.3040,1
13965,0.7430,0.3210,1
13983,0.7450,0.3350,1
13999,0.7470,0.3400,1
14016,0.7480,0.3380,1
14033,0.7510,0.3280,1
14050,0.7520,0.3150,1
14066,0.7540,0.3000,1
14083,0.7560,0.2820,1
14099,0.7580,0.2660,1
14116,0.7590,0.2560,1
14133,0.7590,0.2520,1
14149,0.7610,0.2540,1
14167,0.7630,0.2650,1
14183,0.7680,0.2860,1
14200,0.7730,0.3050,1
14216,0.7780,0.3190,1
14234,0.7830,0.3240,1
14250,0.7860,0.3140,1
14267,0.7880,0.2940,1
14285,0.7890,0.2730,1
14300,0.7890,0.2590,1
14317,0.7900,0.2480,0.7370
14332,0.7910,0.2450,0.2160
14341,0.7920,0.2440,0.0130
14342,NaN,NaN,NaN
