Time,X,Y,P
13939,0.1670,0.2550,0.0630
13953,0.1670,0.2590,0.3330
13953,0.1670,0.2590,0.3330
13969,0.1670,0.2600,0.3840
13986,0.1670,0.2560,0.5360
14003,0.1690,0.2480,0.6220
14019,0.1720,0.2320,0.7080
14036,0.1750,0.2160,0.7690
14052,0.1790,0.1980,0.8560
14068,0.1820,0.1860,0.8940
14085,0.1840,0.1740,0.9210
14102,0.1860,0.1670,0.9400
14119,0.1880,0.1680,0.9580
14136,0.1890,0.1780,0.9720
14152,0.1910,0.1930,0.9740
14169,0.1930,0.2180,0.9700
14186,0.1950,0.2410,0.9420
14202,0.1960,0.2540,0.8450
14220,0.1980,0.2620,0.5790
14235,0.1980,0.2620,0.1870
14246,0.1980,0.2610,0.0010
14247,NaN,NaN,NaN
