    Time       X        Y        P  
    34806    0.775    0.228    0.042
    34808    0.775    0.227    0.255
    34808    0.775    0.227    0.255
    34825    0.774    0.221     0.44
    34833    0.774    0.214    0.569
    34850    0.773    0.199    0.745
    34866    0.772    0.188      0.8
    34886    0.772    0.176    0.851
    34900    0.773    0.173     0.88
    34944    0.777    0.194    0.894
    34949    0.778    0.201    0.896
    34975    0.784    0.228    0.899
    34995    0.789    0.249    0.923
    35000     0.79    0.251    0.931
    35018    0.791    0.248    0.995
    35058     0.79    0.209        1
    35066     0.79    0.204        1
    35083    0.791    0.192        1
    35101    0.794    0.189        1
    35126    0.799    0.202        1
    35150    0.807    0.224        1
    35166    0.812    0.232        1
    35183    0.816    0.231        1
    35200    0.818    0.219        1
    35229    0.819    0.195    0.511
    35260    0.818    0.189    0.173
    35261    0.818    0.186    0.042
    35262      NaN      NaN      NaN
    53823    0.756    0.346    0.005
    53832    0.756    0.347    0.108
    53833    0.756    0.347    0.108
    53853    0.756    0.348    0.208
    53903    0.756    0.347    0.429
    53918    0.756    0.344    0.608
    53935    0.755    0.338     0.72
    53950    0.754    0.328    0.829
    53968    0.754    0.316    0.888
    53983    0.753    0.307    0.919
    54003    0.752    0.292    0.968
    54017    0.752    0.284    0.985
    54033    0.751    0.274    0.997
    54050    0.751    0.271        1
    54067    0.751    0.268        1
    54082    0.751    0.268        1
    54099    0.751    0.269        1
    54118    0.751    0.276        1
    54133    0.751    0.284    0.995
    54150    0.752    0.292    0.983
    54167    0.752    0.302    0.978
    54183    0.753    0.312    0.966
    54201    0.755    0.321     0.95
    54219    0.756    0.328    0.942
    54235    0.758    0.334    0.937
    54251    0.761    0.336    0.933
    54267    0.763    0.338    0.925
    54284    0.765    0.338    0.923
    54299    0.766    0.336    0.919
    54319    0.768    0.333    0.921
    54335    0.768    0.326    0.923
    54353    0.768    0.315    0.929
    54366    0.767    0.306    0.946
    54386    0.767    0.294     0.97
    54400    0.766    0.289    0.964
    54416    0.766    0.282    0.966
    54432    0.766    0.279    0.968
    54452    0.766    0.275    0.972
    54500    0.766    0.276    0.956
    54516    0.767    0.278    0.954
    54533    0.767    0.281    0.942
    54549    0.768    0.286    0.929
    54569    0.769    0.293    0.896
    54585    0.771    0.302    0.878
    54601    0.772    0.311    0.856
    54616    0.774    0.319    0.845
    54636    0.776    0.332    0.821
    54654    0.778    0.341    0.821
    54668    0.779    0.348    0.821
    54684    0.781    0.354    0.821
    54700    0.783    0.358    0.823
    54716    0.785    0.361    0.821
    54733    0.787    0.362    0.819
    54752    0.789    0.362    0.821
    54768    0.791     0.36    0.823
    54783    0.792    0.358    0.825
    54799    0.793    0.352    0.821
    54820    0.793    0.345    0.831
    54835    0.793    0.338    0.843
    54851    0.793    0.333    0.864
    54867    0.793    0.328    0.878
    54883    0.792    0.322    0.892
    54899    0.792    0.314    0.903
    54919    0.791    0.305    0.911
    54932    0.791    0.299    0.913
    54949    0.791    0.291    0.915
    54969     0.79    0.281    0.929
    54982     0.79    0.278    0.946
    55001     0.79    0.271    0.974
    55016    0.791    0.266    0.983
    55035    0.792    0.261    0.989
    55053    0.792    0.256    0.993
    55071    0.793    0.254    0.993
    55082    0.794    0.253    0.995
    55101    0.796    0.251    0.987
    55117    0.797    0.248     0.96
    55135    0.797    0.248    0.921
