       AspectRatio       Duration    Character
     3.86666666666668     0.457          G    
     5.03030303030302     0.454          K    
                  1.5     0.325          O    
              4.03125     0.435          Q    
     1.53191489361702     0.391          W    
                  4.7     0.424          Y    
     2.16981132075472     2.823          G    
                 31.6     1.421          I    
                 1.94     0.977          O    
     2.51428571428572     0.586          U    
     1.94736842105263      1.04          W    
     6.59999999999999     0.787          Y    
     1.59090909090909       0.6          A    
     1.83783783783784      0.55          A    
     1.94444444444444     0.373          C    
     2.14285714285714     0.281          C    
      2.4516129032258     0.359          E    
     1.92727272727273     0.736          G    
     2.96296296296296     0.334          O    
     1.62745098039216     0.594          U    
     2.04878048780488     0.458          W    
                 3.45     0.659          Y    
     2.47222222222222     2.035          A    
     2.51612903225806     0.954          C    
     3.55555555555556     2.763          K    
     1.47916666666667     1.444          W    
     3.05405405405405     0.976          Y    
     1.93548387096774     0.676          A    
     2.08695652173913     0.292          C    
      1.8076923076923     0.435          E    
                3.875     0.641          K    
      1.2962962962963     0.662          M    
     3.17647058823529     0.445          O    
     2.39130434782609     0.434          S    
                2.875     0.587          W    
     1.92307692307692     0.284          C    
                    4     0.555          G    
     16.4285714285714     0.365          I    
     1.18518518518519      0.53          M    
     2.20408163265306     0.672          Q    
     2.08108108108108     0.432          Y    
     1.69230769230769     0.421          A    
     1.91666666666667     0.337          E    
     2.26315789473685     0.586          G    
     4.33333333333334     0.404          I    
     5.64285714285715     0.345          I    
                  1.6     0.492          M    
     3.47826086956521     0.553          Q    
     1.35897435897436      0.49          W    
     2.22857142857143     0.505          A    
     2.81481481481481     0.284          C    
                 2.28     0.345          E    
     2.74193548387096      0.57          G    
     2.81818181818182     0.402          O    
     2.16666666666667     0.385          S    
     3.63157894736842      0.42          U    
     9.04166666666667     0.534          I    
     2.28767123287671     0.614          O    
     4.19354838709677     0.723          Q    
     2.65573770491804     0.534          S    
     2.24657534246575     0.746          W    
     2.03571428571429     0.301          C    
     3.00000000000002     0.524          E    
     1.65714285714286     0.452          O    
     1.87096774193548      1.82          U    
                 2.85     2.271          G    
     4.09090909090909     1.905          K    
     2.15909090909091     2.871          M    
     2.77777777777778     2.087          O    
     5.71999999999999     1.631          Q    
     2.29411764705882     1.774          W    
     7.95238095238096     2.792          I    
                    2     2.532          M    
     2.51162790697674     1.446          U    
                 2.25     2.234          W    
     6.18518518518518     2.013          Y    
     1.43548387096774     1.044          E    
     2.34615384615385     1.649          G    
     3.23809523809524     1.564          I    
      1.2093023255814     0.977          U    
     1.65384615384616     1.401          A    
     1.48275862068966     0.644          C    
     2.35714285714285     0.746          S    
     2.20689655172414     0.656          U    
     1.57758620689655      0.54          G    
     2.04444444444444     0.299          O    
     2.27027027027027     0.373          U    
                3.375     0.483          Y    
     2.90697674418604     0.678          S    
     1.43076923076923     0.804          W    
                  2.8     0.826          Y    
     2.13636363636364     0.683          G    
     2.64864864864865     0.706          Q    
              2.90625     0.578          Y    
     1.37777777777778     0.506          C    
     3.74074074074074     2.118          I    
    0.718749999999999     1.025          M    
     1.71428571428571     0.816          O    
     2.60714285714285      1.12          Q    
     1.49152542372881      1.13          U    
     2.48888888888889     0.805          Y    
     2.34285714285714     0.511          A    
                 1.92     0.465          A    
     2.51724137931035     0.208          C    
     2.69230769230769     0.272          C    
     3.11538461538461     0.188          C    
     4.04761904761904     0.207          C    
     2.81818181818181     0.331          E    
                 2.05     0.325          E    
     5.97499999999999     0.514          G    
     6.71428571428571     0.518          G    
     8.07692307692309     0.312          I    
     5.78947368421053      0.29          I    
     1.86111111111111     0.571          K    
     2.54166666666666     0.449          K    
     3.21428571428571     0.589          K    
     1.68421052631579     0.607          M    
                 3.44     0.347          O    
     2.88461538461538      0.32          O    
                  2.4     0.589          Q    
     2.59322033898305     0.553          Q    
     1.91025641025641     0.568          Q    
     4.54545454545455     0.295          S    
     2.55555555555555     0.314          S    
     3.96296296296296     0.447          U    
     2.57142857142857     0.359          U    
     2.31111111111111     0.642          E    
     25.8333333333333     0.551          I    
