AspectRatio       Duration    Character
    5.73076923076922     0.401          J    
    1.65957446808511     0.455          M    
             2.40625     0.275          V    
    3.75675675675676     0.856          J    
                2.32      1.36          M    
    3.67741935483871     0.706          V    
    6.26923076923078     0.991          J    
    7.04166666666668     0.754          J    
    1.72222222222222     0.583          M    
               1.525      0.57          M   
