AspectRatio    Duration    Character
       3.3929       0.339          S    
          2.2       1.209          C    
       2.4062       0.426          E    
       3.7241       0.641          K    
       1.7222       0.583          M    
       3.1429       0.341          E    
       3.0714        0.61          G    
       31.333       0.396          I    
          4.3       0.536          Y    
       2.1136       0.609          G    
           50       0.303          I    
       2.4286       0.342          S    
        1.575       0.323          C    
         1.75       0.577          G    
       2.7857       0.521          Q    
          1.8       0.397          S    
       1.4583       1.074          U    
       11.364       0.741          I    
       1.5476       0.724          M    
       1.7922       0.422          C    
       3.4074       0.572          K    
       5.1471       0.751          Y    
       7.0588       1.555          I    
            2       1.414          U    
       4.5435       2.485          K    
       2.7755       1.626          O    
            2       0.898          C    
       1.0745       1.511          M    
       2.3462       0.932          O    
       2.3692        0.85          Y    
       1.4643       0.886          E    
         4.65        0.98          G    
       1.5429       0.955          M    
       2.1739       0.506          O    
        1.878        0.59          A    
       1.8667       0.374          E    
       2.7903       0.583          Q    
       2.7556       0.366          S    
         2.05       2.989          A    
       3.8919       0.994          K    
        1.619       0.566          O    
       2.8511       1.202          Q    
       1.9123       0.707          U    
       1.0385       1.045          A    
       1.2979       0.773          E    
            2       0.327          E    
       10.889       0.303          I    
       2.6389       0.499          W    
       2.4048       0.285          C    
       12.417       0.543          I    
       1.9556       0.518          S    
       1.5741         0.3          E    
       5.1304       0.398          G    
         1.46       0.418          M    
         6.05       0.399          Q    
       1.6389       0.422          A    
       1.7037       0.433          E    
       1.7838       0.294          E    
       2.3529       0.493          K    
       3.7333       0.243          O    
       1.3158       0.416          W    
       1.7742       0.353          O    
        4.697       0.542          G    
       2.5323       0.424          G    
       4.8421       0.556          K    
       1.2063       0.608          A    
       2.9697       0.553          I    
        1.875        0.65          Y    
       2.2105       0.537          A    
       2.4524       0.583          K    
       1.5714       0.332          O    
       2.0333        0.48          U    
       3.6111       0.405          Y    
       3.8929       0.565          Y    
       2.6552       0.281          C    
       4.1786       0.493          I    
         2.95       0.285          O    
       4.2187       0.566          Q    
       1.8421       0.427          W    
       1.4889       0.441          W    
      0.94915       0.352          E    
       2.3721       0.556          G    
       2.2245       0.498          K    
       1.5091        0.41          U    
       2.4839       0.269          E    
       2.0833       0.244          O    
        3.087       0.313          S    
       4.9167       0.436          Y    
       1.6935       0.637          M    
       3.6842         0.6          Q    
        2.037       0.647          A    
        2.383       0.353          C    
       4.1132       0.766          G    
       1.6333       0.669          M    
       3.3438       0.692          Y    
       1.0577       0.574          M    
       2.6061       0.264          O    
         2.48       0.335          U    
       3.1633       0.868          Y    
       2.5714       0.377          A    
       1.6935       0.429          Q    
       1.7407       0.318          U    
       2.8636       0.488          A    
       1.6271       0.603          M    
       1.9286       0.324          O    
       1.2553        0.44          A    
       2.7931       0.601          K    
       1.3571       0.522          W    
       2.4286       0.395          W    
       1.2353       0.538          A    
