    AspectRatio      MADX       MADY         AvgU         MADU         AvgV        MADV        CorrXY         CorrXP         CorrXU        CorrXV         CorrYP         CorrYU         CorrYV         CorrPU         CorrPV         CorrUV      NumXMin    NumXMax    NumYMin    NumYMax    NumUMin    NumUMax    NumVMin    NumVMax    Character
       1.5667       0.15552    0.33631       0.37563       1.357      -0.83479     3.5364       -0.14394       -0.24194       0.48919        0.39879       0.059256       -0.75391        0.45273       -0.15867      -0.023781       0.16411       1          1          1          2          2          2          2          2           A    
        3.679       0.15147    0.59879       0.11552     0.89665       -1.7373     3.1665       -0.41512        0.46739       0.10233        0.02603       -0.56682        0.19525       0.054541        0.24954       -0.18578       0.36723       0          1          1          2          1          1          2          1           B    
       1.8667       0.22373    0.51518      0.077192      1.7257       -1.3183     1.6812        0.18999        -0.8001       0.59619        0.94523        -0.1061        -0.5132        0.32635       -0.58347       -0.67212       0.39023       1          0          0          1          1          1          1          1           C    
       2.0476       0.18384    0.31286          0.35      1.2513       -0.3706     3.5868          0.513      0.0019191       0.27452        0.21285         0.4087       -0.40236        0.23703       0.077936       0.093178       0.33656       1          0          1          2          2          1          2          1           D    
       4.4545       0.14951    0.65405       0.51519     0.48096       -2.2973      3.199       -0.53703       0.025278       0.68994        0.12112       -0.47763       -0.31642        0.13144        0.32587        0.28751       0.63659       0          0          1          1          0          1          2          1           H    
       5.8974      0.097383    0.73439       0.28226     0.93939        -1.452     3.1755       -0.20787       -0.42081       0.71055        0.49974        -0.3852       -0.83693        0.40996      -0.035784       -0.79945     -0.092705       0          1          1          0          2          1          1          1           I    
       3.3535       0.11797     0.5131       0.27618      1.2237        -1.775     3.3113        0.14484       -0.32523       0.35296        0.26393       -0.46768       -0.25083      -0.080744       -0.14359       0.023581       0.83075       2          1          1          1          2          1          2          1           K    
            5       0.14562    0.63332       0.38393     0.74428      -0.57398        4.2        0.67992        0.61171       0.21126        0.24262        0.83723        -0.2056        0.57086       -0.51843        0.22347       0.51086       1          1          0          1          1          1          1          1           L    
       1.6552       0.27058    0.36992       0.73477       0.714       -1.5557     3.8797        0.12906        0.13753        0.4793       0.099991      -0.017442        0.48664        0.53164        0.39233        0.35283       0.82713       0          0          1          1          1          2          2          1           N    
            1       0.23388    0.30207      0.035126      2.1183      0.066135     2.1855        0.22124      -0.048014       0.39004        0.95441       -0.56478       -0.76307         0.3826         0.4671       0.080089        0.2263       1          1          1          1          2          1          1          1           O    
       2.6875       0.13192    0.43338       0.10008       1.507        -1.244     2.7469      -0.087346       -0.35458       0.26632        0.47239       -0.14888       -0.39821        0.27039       -0.10774       -0.58236       0.54341       2          2          2          2          2          2          2          1           Q    
       1.8065       0.21361    0.35657       0.75446     0.88828       0.55042       2.22        0.77189       -0.25123       0.84667        0.58819       -0.64024         0.7296        0.57101       -0.17036      -0.026523       0.83196       0          0          1          0          0          1          1          1           R    
       2.2619       0.16771    0.54443      -0.62653      1.3569        -1.535     1.2067        0.40921       0.092459       0.63452       -0.36923       -0.17225        0.21345         0.2791        0.29176       -0.72122      -0.54582       1          1          0          0          2          1          1          0           S    
       1.5088       0.25328    0.38415       0.66073     0.80495       -1.3508     3.3724       -0.20246        0.24304       0.49951         0.3404       -0.30352       -0.70569        0.36032      -0.016358        0.16286       0.29465       0          0          1          1          2          1          2          1           U    
       1.6042       0.24906     0.4202       0.83542     0.41681    -0.0060643     2.7186       -0.23984        0.34754       0.57816        0.71739       -0.70897       -0.56969        0.38907        0.73139       -0.14705        0.2902       0          0          1          0          0          1          1          1           V    
       1.0213       0.33617     0.3116        1.0408     0.60851       0.13608     2.6785        0.04282        0.13463       0.42488        0.65972       -0.79755       -0.63253        0.29043        0.71919      -0.075246       0.37881       0          0          2          1          1          2          2          2           W    
       2.0741       0.24059    0.47265       0.80601      2.3977       -4.9272     3.7926        -0.1222       0.071885      -0.14955        0.37736       -0.11039       -0.13453        0.35345        0.37749       -0.62005      -0.41782       0          1          1          1          1          1          2          1           X    
       3.1333       0.20761    0.47705       0.11878      1.1258       -2.0736     2.9101      -0.069249        0.68445      0.064003       0.090697       -0.20156         0.5465        0.38341        0.01122       -0.16973       0.49214       0          2          1          1          2          2          2          1           Y    
       1.1259       0.16123    0.29527       0.45787      1.6404      -0.74506     3.5521       -0.11608        0.28265       0.36586        0.48905       -0.25361       -0.86247        0.11509        0.51283       0.041318       0.09711       1          0          2          2          6          6          2          2           A    
       2.2083       0.17457    0.33772       0.15029      1.3936         -1.61     2.3699       -0.32052        0.60102     -0.030602      -0.020101       -0.78464        0.48753       -0.38242       -0.30757        0.37709       0.16905       0          1          1          1          3          3          5          4           B    
       1.4667       0.22357    0.43286       0.37887      1.7494       -1.4695     1.6467       -0.22178       -0.12855       0.38583        0.90442       -0.42394       -0.96345       -0.18644        0.72245        0.41819       0.30702       1          0          1          1          2          2          4          3           C    
       1.1545       0.24548    0.29813       0.76457      2.5359      -0.55905     2.1969        0.01914        0.17086       0.17639        0.86409      -0.026641       -0.85093        0.23066        0.44139        0.12839       0.23646       1          1          0          1          2          3          1          1           E    
          2.4       0.13149    0.37194        1.4552      1.3639        3.3558     3.8828        0.45933       0.038132       0.29772       -0.64499         0.3864        0.61436       -0.41699      -0.092531        0.29856      -0.72526       2          1          1          1          6          6          7          8           F    
       1.4465       0.15193    0.26273       0.82726       1.677      -0.75924     3.3238       -0.19104        0.34392       0.26683        0.44145       -0.54086       -0.15077         -0.191        0.47555        0.51904       0.50724       2          1          2          2          1          2          3          3           G    
       2.4381       0.19188    0.41275       0.79051     0.49431       -1.7775     3.2203       -0.57195        0.32071       0.22266     -0.0027509       -0.57364         0.5154      -0.094708        -0.1159     -0.0013442    -0.0027282       0          0          1          1          1          2          3          2           H    
       21.067      0.058874     1.3964       0.58551     0.43482       -9.0515     5.7018       -0.88226          0.441       0.32036        0.17755       -0.59681       -0.22887        0.20074        0.59236       -0.40048      -0.19607       0          1          1          2          3          3          3          2           I    
       2.5045       0.18205    0.50387      -0.50264     0.87515       -1.4145      2.103        0.35422      -0.089316       0.43848       -0.91462       -0.79606        0.83403       -0.53319        -0.7127        0.42302      -0.69388       0          1          1          0          2          2          1          0           J    
       2.4074       0.23816    0.43998        1.3273      1.1264       -4.5044     6.9081        0.07746        0.23201       0.79634        0.64439        -0.2438        0.16782        0.43086       0.027902       0.031644       0.75187       1          1          1          1          2          3          2          1           K    
       45.667      0.042704     2.3859     -0.077619      0.3314       -7.5263     5.6375         0.5875       -0.36841      0.077516       -0.38026       -0.52292       -0.25655        -0.4637       -0.37864       -0.38572       0.62309       0          1          1          1          2          2          2          1           L    
