    pos    height    weight     GP         minutes              points               oRebounds             dRebounds              rebounds               assists                steals                 blocks               turnovers                 PF               fgAttempted             fgMade             ftAttempted              ftMade             threeAttempted            threeMade      
    F        81       225       830    34.7927710843373     0.52039614931782     0.0647205485144401     0.151326269132211     0.216046817646651     0.0730313733638064     0.0283953182353349     0.0220929427245654    0.0738970842856154    0.0804764872913637    0.398746450585221     0.188170925964402     0.171168363460073     0.138721518110672      0.0179721587367546     0.00533277927834338
    F        83       240       379    34.7836411609499    0.496624440567397     0.0808617158461655     0.133505271941136     0.214366987787302       0.04801638473792      0.022984146248957     0.0292801335052719      0.04149283167716    0.0822271106728362    0.414700750967155     0.203974816050975     0.113403625881817    0.0873852689069256     0.00576500037927634     0.00128953955852234
    G        77       205       187    21.7486631016043    0.415539709859848     0.0304893041553971    0.0700762232603885     0.100565527415786     0.0558150971231866     0.0272928448487829    0.00442586673223506    0.0499139414802065    0.0926973198918122    0.381608064912712     0.161052372756331     0.102532579296779    0.0833538234570937      0.0297516597000246       0.010081140890091
    F-C      82       220       450    18.0422222222222     0.30176130065279      0.101120827688139     0.190294371227984     0.291415198916123     0.0289444512871043     0.0245104076856756     0.0890503756620273    0.0449562754033748     0.111097425791354    0.210001231678778     0.106170710678655     0.138440694666831    0.0891735435398448      0.0028328611898017     0.00024633575563493
    C        83       245       103    12.2718446601942    0.396360759493671     0.0585443037974684      0.17246835443038     0.231012658227848     0.0450949367088608     0.0158227848101266     0.0166139240506329    0.0466772151898734     0.125791139240506    0.364715189873418     0.160601265822785    0.0704113924050633    0.0474683544303797      0.0799050632911392      0.0276898734177215
    G        72       168       858    30.1491841491841    0.417079016545539     0.0259007267666615     0.076194526055358     0.102095252822019      0.200865934745632     0.0486315138394928    0.00429101592701407    0.0683856502242152    0.0763104994587908    0.367713004484305     0.154708520179372      0.10951755064172    0.0865161589608783       0.061079325807948      0.0211458172259162
    F-G      79       215       254    25.1614173228346    0.465967767172586      0.043342199968706    0.0946643717728055     0.138006571741512      0.056329212955719     0.0297293068377406    0.00500704115161946    0.0441245501486465    0.0597715537474574    0.421373806915976     0.194179314661242    0.0740103270223752    0.0624315443592552      0.0494445313722422      0.0151775934908465
    G-F      79       190       392    26.6530612244898    0.380455589586524     0.0270865237366003    0.0966692189892802     0.123755742725881      0.131029862174579     0.0318721286370597     0.0212480857580398    0.0673813169984686    0.0912136294027565     0.34312787136294     0.156202143950995    0.0740811638591118    0.0596286370597243      0.0311064318529862     0.00842266462480858
    G        75       191       535    35.7757009345794    0.591954022988506     0.0230929989550679    0.0892371995820272     0.112330198537095      0.151044932079415     0.0456112852664577    0.00694879832810867     0.090491118077325    0.0861024033437826    0.459090909090909     0.193103448275862     0.186729362591432     0.150052246603971       0.158725182863114      0.0556948798328109
    G        71       160       696    24.8635057471264    0.396590580757007     0.0112106327650968    0.0573244726957527    0.0685351054608495      0.138457093325628     0.0268708465761341    0.00208032360589425     0.058826928633343    0.0741982086102283    0.347991909852644     0.143253394972551     0.072695752672638    0.0561109505923144       0.148223056919965      0.0539728402195897
