    pos    height    weight     GP         minutes               points               oRebounds             dRebounds              rebounds               assists                steals                  blocks               turnovers                 PF               fgAttempted              fgMade             ftAttempted              ftMade              threeAttempted            threeMade      
    G        73       162       586    26.6689419795222     0.547286920911185     0.0140133094445866    0.0555413360634758    0.0695546455080625      0.133030458152035     0.0311620168927566     0.00294343486050678    0.0616201689275659    0.0707704120808805     0.508254415152291     0.224852828256975    0.0742897363706168     0.0672510877911441      0.0856795495264909      0.0303301766060916
    G        70       162       334    32.1826347305389     0.497348590566564      0.020094892548144    0.0766582937947716    0.0967531863429156      0.228393338915248     0.0494929760907991     0.00279095729835334    0.0786119639036189    0.0628895711228952     0.410642850497721     0.167364405991255     0.139640896827612      0.120011163829193       0.137222067169039      0.0426086147548609
    F-G      78       232       243    22.6460905349794     0.521715427948392     0.0494275849536616     0.110121751771761     0.159549336725422      0.085953116481919     0.0247137924768308     0.00835907686716337    0.0674177721242958     0.105033618026531     0.448119207704888     0.201526440123569      0.13592585862257     0.0994003270943122      0.0590586952571325      0.0192622206069417
    G-F      76       175       383    21.9242819843342     0.452304394426581       0.02226985828272    0.0738358937715851    0.0961057520543051      0.135405501964987     0.0366797665833036     0.00571632725973562      0.05275693700131    0.0968202929617721     0.366678575681791     0.165654400381088    0.0759795164939859     0.0628795998570918       0.156127188281529      0.0581159938073121
    G        76       184       117    11.1538461538462     0.257471264367816     0.0229885057471264     0.071264367816092    0.0942528735632184      0.154022988505747     0.0398467432950192     0.00689655172413793    0.0789272030651341     0.096551724137931     0.249808429118774    0.0873563218390805    0.0827586206896552     0.0521072796934866       0.096551724137931      0.0306513409961686
    F        82       255       478    15.1945606694561     0.321354812061132     0.0641608150901831     0.122125843315434     0.186286658405618     0.0313919867823214     0.0178989398320253       0.030290513561889    0.0440589288172931     0.123502684840975     0.325485336637753     0.143053834503649    0.0447473495800633     0.0348340905961724      0.0023406305934187    0.000413052457662123
    G        77       205      1102    37.0235934664247     0.546225490196078     0.0282598039215686    0.0871323529411765     0.115392156862745     0.0974019607843137     0.0313970588235294     0.00522058823529412    0.0601470588235294    0.0620343137254902     0.423259803921569     0.191397058823529     0.111274509803922     0.0994117647058824       0.160637254901961      0.0640196078431373
    G        74       171       671    28.8986587183309     0.350626579340931     0.0127378680831314    0.0847815997112062    0.0975194677943376      0.165128152235573     0.0419266670104688     0.00541488319323397    0.0616265277706152    0.0726110051054613     0.329585890361508     0.126347274508793    0.0638440513640349     0.0465679954618122       0.145170439894797      0.0513640348615337
    F        81       215        81    17.9259259259259     0.314738292011019     0.0516528925619835     0.132231404958678     0.183884297520661     0.0413223140495868      0.040633608815427      0.0172176308539945    0.0709366391184573    0.0833333333333333     0.279614325068871     0.110192837465565    0.0819559228650138     0.0633608815426997      0.0984848484848485      0.0309917355371901
    F-C      82       230       456    18.3421052631579     0.279770444763271      0.108082257293161     0.212816834050693     0.320899091343855     0.0264227642276423     0.0349115255858441      0.0373027259684362    0.0625298900047824     0.133428981348637     0.237685318029651     0.113940698230512    0.0917025346724056     0.0517694882831181     0.00179340028694405    0.000119560019129603
    F        80       220       591    36.3756345177665     0.682900734952089      0.053167736533631     0.121174062703507     0.174341799237138     0.0841938785003256     0.0306540143269141      0.0127453716624802    0.0832170434459019    0.0829379477160666     0.530886594101777     0.243557540236301     0.216299190622383      0.174248767327193      0.0672155549353428      0.0215368871522932
    G        72       176       757    20.9379128137384     0.346813880126183     0.0170977917981073    0.0723028391167192    0.0894006309148265      0.189085173501577     0.0559621451104101     0.00498422712933754    0.0658044164037855    0.0835331230283912     0.299684542586751     0.120757097791798    0.0911671924290221      0.066813880126183       0.110283911671924      0.0384858044164038
    C        81       245       244     17.766393442623      0.13840830449827     0.0816608996539792       0.1040369088812     0.185697808535179     0.0152249134948097     0.0136101499423299        0.07520184544406    0.0320645905420992     0.125951557093426     0.100576701268743    0.0493656286043829    0.0599769319492503      0.039677047289504                       0                       0
    G        72       169       840    23.7071428571429     0.387265240534298     0.0328412172341067    0.0811489404439088     0.113990157678015      0.170432861303605     0.0568946469820227     0.00492116099226675    0.0781359847343577    0.0702520839610324     0.326755046700814     0.133725017575575    0.0843125439389374     0.0734659033845536       0.138746610424827       0.046349301998594
    G-F      78       244       763    34.1389252948886     0.432355651105651     0.0362791769041769      0.10534398034398     0.141623157248157     0.0892199017199017     0.0566262285012285      0.0165847665847666    0.0607340294840295    0.0814649877149877     0.368204852579853     0.154330466830467     0.123733108108108     0.0889511670761671       0.100775491400491      0.0347435503685504
    G-F      77       210       453    20.1479028697572      0.35729155253643      0.043168620576312     0.083269420401008      0.12643804097732      0.107811986413937     0.0322121178919689      0.0109565026843432    0.0537964281801249     0.105182425769694     0.269529966034842     0.130711077024214     0.116029363427194     0.0875424564479018      0.0277199517913882      0.0083269420401008
    F        81       235       352    19.1164772727273     0.290979343141626     0.0832218754644078     0.152177143706346     0.235399019170753     0.0413137167484024     0.0246693416555209      0.0313568137910537    0.0618219646307029       0.1224550453262      0.30004458314757     0.120968940407193    0.0714816466042503     0.0490414623272403    0.000297220983801456                       0
    G        72       185        86    21.5348837209302     0.296436285097192     0.0210583153347732    0.0701943844492441    0.0912526997840173      0.271598272138229     0.0318574514038877     0.00215982721382289    0.0890928725701944    0.0734341252699784     0.287796976241901     0.125269978401728    0.0556155507559395     0.0404967602591793      0.0232181425485961     0.00539956803455724
    G        74       200       349    15.9799426934097     0.369553523399677      0.018110095033172    0.0754886139501524    0.0935987089833244      0.130715438407746       0.04769589384974      0.0102205486820871    0.0781782320243859     0.121391429083737     0.308050923435539     0.132867132867133     0.105970952124798      0.081405773713466      0.0690335305719921      0.0224134839519455
    G        75       176       524    25.0152671755725     0.506789746719561     0.0157918828196521    0.0755263960939884    0.0913182789136405      0.101388465059506     0.0379157766249619     0.00595056454073848    0.0596582239853525    0.0884192859322551     0.404409520903265       0.1882056759231    0.0859017393957888     0.0707964601769911       0.152197131522734      0.0595819346963686
    F        79       235       497    21.0985915492958     0.343505626549685     0.0565515925996567     0.150677093267213      0.20722868586687     0.0805836353232882     0.0331871066183483      0.0164028228113675    0.0580774365821095     0.107190539767309     0.286858668701125     0.128170894526035    0.0693305359526988     0.0503528514209422        0.11214953271028      0.0368109860766737
    G        76       195       821    16.9062119366626     0.339697406340058     0.0229106628242075    0.0860951008645533     0.109005763688761      0.128530259365994     0.0520172910662824      0.0079971181556196    0.0582132564841499    0.0731988472622478     0.264553314121037     0.114913544668588    0.0737031700288184      0.062536023054755       0.120749279538905      0.0473342939481268
